原告经营情况,<原告经营情况>,</原告经营情况>,,,,
企业名称变更,<企业名称变更>,</企业名称变更>,,,,
注册商标权利情况,<注册商标权利情况>,</注册商标权利情况>,,,,
证明商标使用管理规则,<证明商标使用管理规则况>,</证明商标使用管理规则>,,,,
商标许可/转让情况,<商标许可/转让情况>,</商标许可/转让情况>,,,,
商标共有情况,<商标共有情况>,</商标共有情况>,,,,
商标知名度,<商标知名度>,</商标知名度>,,,,
驰名商标,<驰名商标>,</驰名商标>,,,<经审理查明段>,</经审理查明段>
申请驰名商标司法认定,<申请驰名商标司法认定>,</申请驰名商标司法认定>,,,,
证据保全公证,<证据保全公证>,</证据保全公证>,,,,
著作权登记,<著作权登记>,</著作权登记>,,,,
著作权归属,<著作权归属>,</著作权归属>,,,,
被告经营情况,<被告经营情况>,</被告经营情况>,,,,
行为人商标使用情况,<行为人商标使用情况>,</行为人商标使用情况>,,,,
与域名相关的事实,<与域名相关的事实>,</与域名相关的事实>,,,,
贴牌加工行为,<贴牌加工行为>,</贴牌加工行为>,,,,
合法来源,<合法来源>,</合法来源>,,,,
未实际使用,<未实际使用>,</未实际使用>,,,,
商标行政程序,<商标行政程序>,</商标行政程序>,,,,
商标权行政诉讼,<商标权行政诉讼>,</商标权行政诉讼>,,,,
商标权行政处罚,<商标权行政处罚>,</商标权行政处罚>,,,,
商标权犯罪,<商标权犯罪>,</商标权犯罪>,,,,
合理开支,<合理开支>,</合理开支>,,,,
产品利润,<产品利润>,</产品利润>,,,,
违法收入,<违法收入>,</违法收入>,,,,
原产地域名称情况,<原产地域名称情况>,</原产地域名称情况>,,,,
